Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
1203,"(25.65036597204721, 140.8466694517651)","(9.598865041415094, 148.3165938081805)","(84.65301857471647, 131.08056802059986)","(144.70101912652424, 84.82600807518413)","(187.55621364391428, 109.85939135731809)","(211.84033353942476, 103.43770414518626)","(227.16651550515115, 104.17104915236135)","(204.0894655780743, 60.80214003511299)","(208.42792758798592, 69.60277466065305)","(298.4628553907881, 73.95744506632923)","(349.3420672266714, 74.44703353811641)","(358.11299650273537, 60.06568784129302)","(350.76958665491003, 46.86841051032912)","(354.6866650960686, 39.17603773874144)","(377.98525949529653, 46.899565346212846)","(418.82684363830657, 39.91111894793898)","(428.0647013531852, 41.548694384887256)"
1204,"(25.656148058197804, 140.8373578305072)","(9.608216684353776, 148.29944275632133)","(84.67556826757692, 131.09321757375932)","(144.67653943363774, 84.80099007794041)","(187.56084527816026, 109.85492798207008)","(211.84685769164895, 103.4253031716015)","(227.20539293760987, 104.18374386592214)","(203.9422263902427, 60.75041111386888)","(208.41552611985588, 69.59738724659222)","(298.4682487692477, 73.96788583750828)","(349.314022423889, 74.40344193450642)","(358.1135078924749, 60.04990321006321)","(350.77891342492825, 46.85858620619686)","(354.6951866250762, 39.1849678073561)","(377.9272473038092, 46.866103622841614)","(418.80496699771106, 39.875603457435204)","(428.0998547857381, 41.52811729615001)"
1205,"(25.65513141354085, 140.82623145483677)","(9.61193510160524, 148.29117192509503)","(84.6680207511633, 131.08032529372232)","(144.71574749420876, 84.79394521165024)","(187.5589666747751, 109.84580514395678)","(211.8473002142153, 103.41504230375136)","(227.2395978724887, 104.17681044423546)","(204.09793967463602, 60.707840729598686)","(208.4374452680959, 69.57841005565437)","(298.48960795898824, 73.94597459482796)","(349.3332048398343, 74.39032280240508)","(358.1135238575378, 60.06289552049003)","(350.78698470111544, 46.85198874071815)","(354.697976739332, 39.179192430527166)","(377.8722517667059, 46.84257834699128)","(418.81942885022494, 39.904781864338396)","(428.10147337606116, 41.525399868629684)"
1206,"(25.660319359843342, 140.811710809103)","(9.61588236568633, 148.28143534915336)","(84.66631092221036, 131.06546837414004)","(144.71966554645684, 84.80361736690791)","(187.57125705815366, 109.83885966624345)","(211.85493993575798, 103.40887193183407)","(227.1745137488925, 104.15312960733155)","(204.11207481466369, 60.766732950840115)","(208.42384512931875, 69.56808458460648)","(298.4898280449443, 73.94153885531011)","(349.31135034610946, 74.39344300463742)","(358.1113752114397, 60.07118958687966)","(350.7865710293637, 46.841632423113644)","(354.7033733321416, 39.161480587769674)","(377.81812409815257, 46.82215753833427)","(418.8019093794759, 39.87307418753493)","(428.0945987252626, 41.51915449521814)"
1207,"(25.622920352259186, 140.901195162519)","(9.579709460303764, 148.3646398904403)","(84.66058605476023, 131.1444944787437)","(144.6691795631565, 84.87675121369847)","(187.5309642033947, 109.92442670299093)","(211.81469236678743, 103.48673976157059)","(227.18555687181998, 104.21230445250231)","(204.03538816282474, 60.93861041104864)","(208.42231734681178, 69.6637082910069)","(298.46253819472264, 74.00732121654332)","(349.2788341662197, 74.424786970457)","(358.0818578537627, 60.09385600190492)","(350.7436849110353, 46.90375547654049)","(354.65779883710394, 39.227060226633945)","(377.77265330740454, 46.825330123909836)","(418.77562607645166, 39.96871750729761)","(428.06205332139433, 41.579795722851806)"
1208,"(25.6299458205739, 140.90472281852718)","(9.57653106504688, 148.37684045705615)","(84.63604393760973, 131.1492615892063)","(144.67081168663134, 84.88900341054018)","(187.52022955647936, 109.92730071214224)","(211.79957150168002, 103.48583405864824)","(227.16772669452095, 104.28661609491866)","(204.00340338167047, 60.8451242439822)","(208.4234672241981, 69.6560955915809)","(298.4470227613744, 74.02580151221376)","(349.31754092147867, 74.45247069470837)","(358.0863136761582, 60.12100068567031)","(350.74141106063496, 46.91376620284222)","(354.6221417781282, 39.2383297528144)","(377.72803420415875, 46.814762302996165)","(418.74673538727825, 39.88085895048489)","(428.0459516275451, 41.60659937636382)"
1209,"(25.621786990317542, 140.90030306428307)","(9.582337625686533, 148.36385573309818)","(84.64783214946873, 131.1439183658296)","(144.65369601120202, 84.86891738767524)","(187.52468376072028, 109.91518628881325)","(211.81823582677418, 103.47752347764664)","(227.182282647824, 104.20405220117017)","(203.988276236409, 60.84336936633091)","(208.39154715040635, 69.64728220024229)","(298.4487560741046, 74.0209152425816)","(349.3256687489056, 74.45735736767821)","(358.059953546403, 60.1103533533884)","(350.7508816599487, 46.902278055044)","(354.6544264452502, 39.217126126141714)","(377.6753537721318, 46.79528846428542)","(418.79370132503277, 39.89061903603474)","(428.0715457501699, 41.56554618387144)"
1210,"(25.63291036799863, 140.89925890769487)","(9.585043113737964, 148.35783597276003)","(84.64309762197037, 131.12860976989057)","(144.64123935607586, 84.83687694118484)","(187.53468742198612, 109.90984186580081)","(211.8241569808981, 103.47895138809449)","(227.19057565671386, 104.22381823198192)","(203.99453845909463, 60.801219231299214)","(208.42558630240697, 69.64214331316127)","(298.4465105433184, 74.01109899318881)","(349.2658746548908, 74.43669999640132)","(358.0711265139213, 60.09650564892498)","(350.75393885326366, 46.89685433380842)","(354.6497161467139, 39.21353828496754)","(377.6375130394366, 46.77843523776999)","(418.80498154302524, 39.88847379605002)","(428.0762543414612, 41.578892946210814)"
1211,"(25.642967479244355, 140.8823305925152)","(9.591589656417492, 148.3504365318376)","(84.61768391894677, 131.12433578149805)","(144.67084536017188, 84.84950251358089)","(187.5455100304551, 109.89991324335378)","(211.8303890567316, 103.46698862949113)","(227.17646274729526, 104.21174542920238)","(203.96998837831703, 60.81664720084261)","(208.41479394741123, 69.62792126626574)","(298.4662414577835, 74.01164986234234)","(349.3194943329775, 74.41655002151033)","(358.06335475294554, 60.100844099616864)","(350.75530701807503, 46.88755009241804)","(354.66519162002743, 39.21359041210579)","(377.6017121013953, 46.76073470349561)","(418.8152346231178, 39.861933342732534)","(428.0687608528254, 41.559764254960804)"
1212,"(25.63812131001754, 140.8706457842953)","(9.590945572103001, 148.3313111885274)","(84.65266541217899, 131.11619781249973)","(144.68439408627012, 84.82142010505868)","(187.5436940661822, 109.89478850146644)","(211.8259148485671, 103.46181330647352)","(227.19092517375918, 104.2010155915559)","(203.99533765279128, 60.812617505048685)","(208.39007973641392, 69.63311311493214)","(298.4602338498548, 73.99080516258887)","(349.31015238408605, 74.41846829688885)","(358.0577919537613, 60.087702210949935)","(350.7592068124705, 46.88274410798305)","(354.6742018969174, 39.205633963956735)","(377.56270188509006, 46.74109054723218)","(418.7454445773768, 39.91825523424322)","(428.0723196750189, 41.56420906069808)"
1213,"(25.647420495047584, 140.86350515223427)","(9.588421453238853, 148.33353450885664)","(84.65431512563875, 131.11650850025518)","(144.6849205783679, 84.85566939579759)","(187.54048867545785, 109.87998547595754)","(211.83147023485552, 103.46038250519123)","(227.1398992580259, 104.19983255145111)","(204.05750961552988, 60.78415210176759)","(208.41130275585016, 69.62275532274751)","(298.4655603727937, 74.00303532818978)","(349.29545244072943, 74.41475514299071)","(358.0790878453141, 60.101481038235214)","(350.7631426963579, 46.87800853827502)","(354.6847529511299, 39.20046371056876)","(377.52548884574674, 46.712791516744915)","(418.77063970078524, 39.91904244026102)","(428.05467623407986, 41.54981629982095)"
1214,"(25.637947124175206, 140.85738299068876)","(9.597434574510087, 148.323107403462)","(84.6571303025361, 131.11791083838915)","(144.70837014599954, 84.84949856913339)","(187.54805391039187, 109.87990150873785)","(211.82756617780203, 103.44905007916748)","(227.19958813256065, 104.16266527483494)","(204.04409546291964, 60.74503956084881)","(208.4146473370306, 69.60272297974775)","(298.4549325565053, 73.99927255415864)","(349.2912816798895, 74.39140867354791)","(358.0696820806949, 60.09127978729967)","(350.7674556398952, 46.87508318109205)","(354.6736449620179, 39.19309607742963)","(377.49127114316883, 46.68779680813373)","(418.79821218932386, 39.882772840313535)","(428.0763463870676, 41.52576149477626)"
1215,"(25.642271998989017, 140.84746935428154)","(9.604473650731464, 148.31242991796003)","(84.66587157697217, 131.10788195072692)","(144.71035035768796, 84.82210891547099)","(187.55470326116915, 109.87039093466785)","(211.8413509394297, 103.44185324745617)","(227.2716323699716, 104.16764312258444)","(204.072557302929, 60.71712926149525)","(208.4437562889492, 69.60667797078268)","(298.46229398573456, 73.97803388553218)","(349.30629233712597, 74.40916499354198)","(358.07514091935525, 60.0820478352768)","(350.76658340145667, 46.865224924129635)","(354.6847729838334, 39.17559121730341)","(377.4599054704916, 46.663092478332445)","(418.8364363638012, 39.860564519139885)","(428.0604546904389, 41.550130933860316)"
1216,"(25.64759688379909, 140.833374408983)","(9.605668962719706, 148.30667548334276)","(84.6687817399583, 131.0970418732772)","(144.67492538017365, 84.81000093836346)","(187.55729012374235, 109.86209781176855)","(211.84630502065093, 103.43529517365485)","(227.22201780813108, 104.27475030456395)","(204.01345008026445, 60.89300204668983)","(208.42455506364047, 69.61783343402837)","(298.48168066891606, 73.97723962140773)","(349.2877628990263, 74.38983010128372)","(358.0853208261758, 60.07735273041184)","(350.7801054509665, 46.859967763288005)","(354.6869068423567, 39.19767180276645)","(377.4321166491173, 46.633732901886845)","(418.80694070464193, 39.86707121761554)","(428.0230740120191, 41.598369770491296)"
1217,"(25.661775092475473, 140.8326407733348)","(9.614164276492744, 148.29255457332195)","(84.65769267695616, 131.0768301645358)","(144.73186462570237, 84.82079473470445)","(187.5628649172036, 109.85158548556146)","(211.8560186665281, 103.42529364183612)","(227.22042594641277, 104.13907330581239)","(204.02324158906598, 60.75834988015424)","(208.4779870262447, 69.5874350198078)","(298.48805396805506, 73.96293075034085)","(349.33933748223427, 74.39065230191781)","(358.06481771741875, 60.08210839383083)","(350.7880930658137, 46.85292916485177)","(354.69947425709563, 39.183610972099586)","(377.4011156258258, 46.61413689569418)","(418.80766606888, 39.879726453450836)","(428.0845253285626, 41.53989866099186)"
1218,"(25.65607218827415, 140.81653602041825)","(9.618087508140563, 148.2864513306253)","(84.67113444556956, 131.07126860307343)","(144.67946771030557, 84.78515341281758)","(187.57767317484513, 109.83476080480808)","(211.85273757158248, 103.39571747215983)","(227.22127521391693, 104.16233063444535)","(204.04734619188082, 60.758904923476656)","(208.43540956787558, 69.5654044457019)","(298.49170734582333, 73.95951090529647)","(349.2811340729925, 74.44314018743276)","(358.0933186916271, 60.08453766813863)","(350.805017198663, 46.77279874543637)","(354.67900844329097, 39.21831900482455)","(377.37240123209426, 46.58936931532109)","(418.80666272022273, 39.83832294426579)","(428.09728884302115, 41.52958676463557)"
1219,"(25.615548611314154, 140.91894154189274)","(9.578065280205877, 148.37790818074652)","(84.56161731240971, 131.13561277911253)","(144.67585920692989, 84.89427926104217)","(187.52249860977466, 109.93124612001341)","(211.8019782517876, 103.49599165589635)","(227.14701495648475, 104.25514773799515)","(204.02053271355706, 60.83094805748988)","(208.41940555131112, 69.6646215633185)","(298.4285446570948, 74.00563631473022)","(349.25484822448516, 74.44005614379844)","(358.0455503224115, 60.13424360177163)","(350.73684553714224, 46.913772785187234)","(354.6586443725505, 39.23248546246611)","(377.34587259989837, 46.59433543114053)","(418.7905901666751, 39.93237774805929)","(428.04101744987787, 41.578813895933905)"
1220,"(25.6172354494205, 140.92070606257062)","(9.577500295417769, 148.3890009873265)","(84.63735104088875, 131.15692196181837)","(144.65553472932893, 84.86404179546588)","(187.51645225299342, 109.94016153896838)","(211.81559939824893, 103.50086494418406)","(227.18199976648305, 104.21696736113479)","(203.97877192825572, 60.90874702608793)","(208.35622831082392, 69.68394575528028)","(298.43463528602956, 74.03474868548292)","(349.2934318977157, 74.436888252158)","(358.02976348460635, 60.129614423372885)","(350.7384612709956, 46.9135942694942)","(354.64777870393436, 39.22861610953428)","(377.3171709997825, 46.5794975707801)","(418.7556270215044, 39.89582165638976)","(428.057000457317, 41.58151568172786)"
1221,"(25.630813733278107, 140.9028247857952)","(9.581298742949059, 148.37119087387)","(84.63543151153056, 131.14046836907946)","(144.60663559431, 84.83953602887671)","(187.523272798651, 109.92987231016207)","(211.81270168187498, 103.48461648985044)","(227.12863473986067, 104.22125843643002)","(204.03841385183867, 60.91919821835428)","(208.41462603630035, 69.66590356375832)","(298.43856456916, 74.01080002366955)","(349.2843662017457, 74.43714625345825)","(358.0451255287387, 60.11946159919291)","(350.7449077676597, 46.91000776693751)","(354.6594162534664, 39.23429322000931)","(377.29421965486625, 46.55938807457333)","(418.7778436493785, 39.92629134213265)","(428.07233792272126, 41.56729463203179)"
1222,"(25.627824579386584, 140.89612106594276)","(9.583487096514592, 148.3614448128728)","(84.63799871480623, 131.14428146951136)","(144.66744496472307, 84.87908151746623)","(187.53109214713626, 109.91348922389345)","(211.82061969528525, 103.46772126665591)","(227.1729676738635, 104.22127537914162)","(203.97974057815716, 60.80399995554786)","(208.39838555730915, 69.64640865262234)","(298.45199127844415, 74.01467637926466)","(349.30914392809046, 74.4657694528773)","(358.06181873850784, 60.13109444500113)","(350.7459295989391, 46.90275775006531)","(354.6665694245089, 39.228620553415155)","(377.2762684155659, 46.53930616271021)","(418.78515672423595, 39.8715673282058)","(428.0888204401981, 41.570245944699174)"
1223,"(25.640715766652544, 140.88425322276626)","(9.589745875162826, 148.3482666699595)","(84.65383121487069, 131.12603150759077)","(144.68979314871086, 84.855333875733)","(187.53802547346476, 109.90204085883839)","(211.82011208875699, 103.46889447445584)","(227.19885435762293, 104.22305988629448)","(204.04397331044783, 60.809460915616256)","(208.4240979344067, 69.65665160667265)","(298.463072199216, 74.01831569394608)","(349.2745379536139, 74.43189965788441)","(358.06281266355427, 60.121833895752374)","(350.75507893971815, 46.8933113344611)","(354.67491924098687, 39.2231478088233)","(377.25683111212845, 46.52994025853273)","(418.7976776356953, 39.883097578967714)","(428.0674396475385, 41.55663840603999)"
1224,"(25.645037646534856, 140.8767964472078)","(9.593079526342093, 148.33844419488702)","(84.65598663294774, 131.11952078353403)","(144.70382833253316, 84.84710740573809)","(187.54198052770994, 109.89525099678993)","(211.83453841093308, 103.46361265155221)","(227.1797122781214, 104.2105150970737)","(204.0812629091263, 60.689745573017625)","(208.44342043491955, 69.62842125972475)","(298.47249589598863, 73.99449124645547)","(349.32376533147647, 74.43205471632771)","(358.0647530461758, 60.10706078803969)","(350.76236857029545, 46.88359809574123)","(354.67883337470727, 39.22342546624266)","(377.247139018617, 46.51329718792966)","(418.74677695589645, 39.89960294330695)","(428.0805472017148, 41.58324106563097)"
1225,"(25.641638706304015, 140.8638566142246)","(9.593716280211874, 148.32613685169807)","(84.66299308490503, 131.11349575502155)","(144.68722375468002, 84.8467335115133)","(187.5431641487676, 109.89115696335004)","(211.83213520123277, 103.4545509751838)","(227.237821788798, 104.15505812637242)","(204.0463189739442, 60.84186232296883)","(208.3994426697764, 69.62519921481868)","(298.4651091400613, 73.99757068949066)","(349.2970393568894, 74.39407210689323)","(358.08919547097094, 60.11387781182456)","(350.76353091361386, 46.879295145228845)","(354.6721898665712, 39.21387972780466)","(377.23467682509056, 46.49558510683537)","(418.7471961276175, 39.92201282526346)","(428.08588452299915, 41.55902582645345)"
1226,"(25.637251319136336, 140.85555848736743)","(9.606392037679543, 148.32277199001214)","(84.66265094217587, 131.10711796284826)","(144.70053960679545, 84.83905888138959)","(187.55201658927461, 109.87653527284242)","(211.83483282135714, 103.44778462761958)","(227.1854149980638, 104.16130368283903)","(204.05159379138902, 60.78004271586333)","(208.43345240757267, 69.61694841318138)","(298.48811184415956, 74.04387127814368)","(349.3456136000496, 74.42223435912152)","(358.0575396866049, 60.10813336941643)","(350.7640268019564, 46.871031971702365)","(354.6745535767775, 39.20729169038737)","(377.22779912829077, 46.481975144779724)","(418.73720356735953, 39.908355103901336)","(428.0943001504774, 41.5445983912677)"
1227,"(25.640094060726714, 140.8575395823912)","(9.60327797866973, 148.32374913657884)","(84.66023682067997, 131.1056346864213)","(144.67448982355222, 84.83817831165702)","(187.5515914415482, 109.87080113643927)","(211.83603824100996, 103.43808150655993)","(227.14417074187253, 104.1311651990459)","(204.0484736971145, 60.801888899914736)","(208.42357076541924, 69.62051021258443)","(298.47310018788977, 73.98244545821525)","(349.3006801195011, 74.40445953803085)","(358.05368414571586, 60.10400228393282)","(350.76799759662873, 46.86741772267038)","(354.6796658402476, 39.20893073274076)","(377.22311598096115, 46.46817459899851)","(418.7140473839081, 39.921874021213775)","(428.09893074211226, 41.54968221120074)"
1228,"(25.647165106456576, 140.8405436516498)","(9.6119845586887, 148.31704698645942)","(84.66066393569965, 131.10769847094713)","(144.70893712972872, 84.81994307066219)","(187.5560613736353, 109.86390452875476)","(211.8462981750102, 103.43129610719157)","(227.23668245596033, 104.15935099116427)","(204.02550005946162, 60.79570665365944)","(208.43067469323222, 69.59506635451766)","(298.4640017410597, 73.9851549597369)","(349.3120548548228, 74.4030320685497)","(358.06690241110095, 60.10390915299514)","(350.7742933514898, 46.860352890187386)","(354.69019235814716, 39.19946560611044)","(377.21465139272686, 46.467640345246274)","(418.72644110879594, 39.87714794350213)","(428.0760610110305, 41.526260520166396)"
1229,"(25.64832925322487, 140.8324487204784)","(9.608263415561922, 148.30486064710408)","(84.66449839434088, 131.09145974188945)","(144.6946243490991, 84.79075408215634)","(187.56440091562445, 109.8492339620591)","(211.85113417774926, 103.42511032662169)","(227.23099589242935, 104.15205381737255)","(204.04358603422386, 60.80737736545395)","(208.43012887695164, 69.58792279883882)","(298.47582665023236, 73.96528079239775)","(349.2762236854422, 74.37724462229423)","(358.09641690295166, 60.10871692747198)","(350.78133173762075, 46.85192189554277)","(354.68873315469176, 39.18816072371978)","(377.21881407393823, 46.45140980503545)","(418.70394981440853, 39.90030683372646)","(428.0799509590939, 41.54072955089704)"
1230,"(25.648800704657305, 140.81524944541061)","(9.623546028195587, 148.28831639858964)","(84.6775096195414, 131.08564284228996)","(144.72766586203815, 84.79485115615918)","(187.54603340429477, 109.79726124143977)","(211.85440418439006, 103.41780260954047)","(227.26434434188775, 104.13987723554628)","(204.15872448644458, 60.8408893476987)","(208.46622205245714, 69.57993610569315)","(298.4876004753317, 73.96955359850428)","(349.3237647500813, 74.36818643804128)","(358.10314120146467, 60.066867765543186)","(350.78805848206684, 46.84544495303852)","(354.7076634782007, 39.18938544939845)","(377.23229901689564, 46.44618250392017)","(418.7051352287108, 39.89575703464691)","(428.08008954446103, 41.55380465010195)"
1231,"(25.6352678196941, 140.87413890825826)","(9.592344206863206, 148.3352231303355)","(84.6436034398417, 131.10929931420895)","(144.6898025509618, 84.84989944500518)","(187.5513892935966, 109.89493762303313)","(211.83272748705, 103.45782478611099)","(227.18482191166436, 104.20502909032791)","(204.1346831325117, 60.04035322633816)","(208.44409843922202, 69.61139406540421)","(298.46755539555704, 73.99099691508935)","(349.32226213130826, 74.42461958127865)","(358.05539900568584, 60.06603945195716)","(350.7580796686042, 46.87713299034895)","(354.671136810874, 39.21201130596105)","(377.22872804168304, 46.437392233202374)","(418.659595994373, 39.930817215000275)","(428.07246691736634, 41.542702295485384)"
1232,"(25.631095334864018, 140.86222208683398)","(9.597905893814636, 148.32749630667547)","(84.64974126319238, 131.11149116981827)","(144.65273791546576, 84.84955736081984)","(187.5429556610245, 109.88804114953838)","(211.8346323733578, 103.45775640325388)","(227.20422386116294, 104.1876323410853)","(203.63986822602448, 60.15637945999146)","(208.41560139614853, 69.61680125390959)","(298.46808773774956, 73.98792815811139)","(349.31919546925576, 74.42934341171866)","(358.0387567606922, 60.08618072332164)","(350.75890935662073, 46.874600520017395)","(354.68174076705037, 39.20769141948732)","(377.22538720726084, 46.438259406155474)","(418.64124958966454, 39.93932034466378)","(428.07757217455315, 41.56023853828039)"
1233,"(25.646112474436666, 140.8555863038325)","(9.596815367870994, 148.31879574644643)","(84.6642099670682, 131.10229506503296)","(144.6900471987152, 84.84140943520534)","(187.5469568688068, 109.8713555566565)","(211.8246220668832, 103.44121972329671)","(227.20778289055528, 104.1878403720394)","(203.62581388469755, 60.42367238319431)","(208.43100559196225, 69.59849890373842)","(298.468399124031, 73.98669601126853)","(349.2846414844753, 74.42687658475694)","(358.0779386276254, 60.11133510461701)","(350.7628352699729, 46.86399193149776)","(354.67602731756205, 39.206150884663316)","(377.22872264030605, 46.43095128732474)","(418.6334002014517, 39.89638212914341)","(428.05633563062526, 41.54986140507712)"
1234,"(25.656765124282597, 140.84955609754897)","(9.59803040448794, 148.31160211568863)","(84.65857725147364, 131.09339417849793)","(144.71752682821702, 84.83879265518115)","(187.55715190261125, 109.86576265456493)","(211.83990975839177, 103.4364228391994)","(227.18468946213488, 104.17330418667498)","(204.02818616897548, 60.75922761324063)","(208.41403355055044, 69.59595591855144)","(298.4835366852708, 73.94416420612322)","(349.3084404712155, 74.39460459542093)","(358.07645446756754, 60.08969826046934)","(350.76231650632735, 46.8620241155191)","(354.6825163902718, 39.19841956745295)","(377.2315108664441, 46.430243612291385)","(418.62914641319986, 39.87956661644684)","(428.0765719968986, 41.54850863807545)"
1235,"(25.648127008712343, 140.8402107129055)","(9.604880147298536, 148.31156394409797)","(84.65499581145241, 131.10542661522055)","(144.72506529019338, 84.835346008862)","(187.55818315432137, 109.86391075178047)","(211.84284166266588, 103.43578045267965)","(227.21350769962652, 104.20276498534841)","(204.0131669797947, 60.747356204753366)","(208.45563597434938, 69.60352330186386)","(298.4788410544786, 73.97110177660366)","(349.3492712045067, 74.4124674795338)","(358.0762625416898, 60.117756556629374)","(350.77244212513324, 46.858292410023374)","(354.6908523612376, 39.19950443131918)","(377.2394214795868, 46.425849077678485)","(418.62150109592653, 39.89233669530684)","(428.08427891041407, 41.5611273767771)"
1236,"(25.643568375769014, 140.83604503790482)","(9.607386652100724, 148.30641988731503)","(84.6565208923472, 131.0915542109814)","(144.6761326843787, 84.79545761208787)","(187.55383014452525, 109.85901835822297)","(211.84666114724152, 103.42687646924269)","(227.21818365129653, 104.13335091664231)","(204.0051302342722, 60.80139416086432)","(208.43922493558782, 69.59032008067798)","(298.4746133394708, 73.96588691261579)","(349.3276778797116, 74.38977693992116)","(358.0812579816969, 60.100941499011796)","(350.7707423311776, 46.85521842809745)","(354.67800514380815, 39.20106358846153)","(377.2508935269178, 46.41908115695766)","(418.57234018677775, 39.91129267707089)","(428.0863633636636, 41.55305076258458)"
1237,"(25.653235689621756, 140.83284182090864)","(9.590372833855714, 148.2780667596811)","(84.67766095225012, 131.08494997371187)","(144.70235222783188, 84.79677144861382)","(187.56052009877482, 109.84985313177096)","(211.8497779298297, 103.42307731026148)","(227.23762932587425, 104.15167626668378)","(204.04794505700457, 60.80656501073756)","(208.46672349036203, 69.60197435616264)","(298.47641406609597, 73.96975891948837)","(349.3268167540939, 74.41088111365987)","(358.08063927092877, 60.090645824599605)","(350.7748260807486, 46.848447950511456)","(354.68887232386663, 39.18230394181355)","(377.2577604112709, 46.405799429560346)","(418.54161890732996, 39.91595338583149)","(428.0975539707015, 41.543663342373904)"
1238,"(25.64466355819317, 140.80644981919215)","(9.61765208792136, 148.28870161832543)","(84.6787576882969, 131.06056671805246)","(144.73367979622208, 84.8058258588366)","(187.75059692042794, 110.01568519114736)","(211.8571805267876, 103.41395101611884)","(227.21429343902125, 104.14698110685728)","(204.0236585173111, 60.76714399832968)","(208.45941378118565, 69.57532647987588)","(298.50276497361256, 73.95147935147168)","(349.33620615800595, 74.3917068994304)","(358.0813555828586, 60.07867802636129)","(350.7827969073511, 46.83492959096509)","(354.7051674130833, 39.195526155877786)","(377.260153791843, 46.40388362928858)","(418.55276907115365, 39.916260736357955)","(428.08293190852726, 41.52258527459388)"
1239,"(25.65707595635497, 140.8105862828994)","(9.62316819755592, 148.27920714505225)","(84.65789027287494, 131.05677530323166)","(144.7105564052752, 84.80668601514549)","(187.57397779934297, 109.83161983971024)","(211.85543080885674, 103.40213925689636)","(227.2091047060407, 104.13285496899019)","(204.06660197060575, 60.74437099292493)","(208.33384431657325, 69.60290980678325)","(298.4939746715797, 73.95287398240619)","(349.3570145282569, 74.3756201939226)","(358.08835301345124, 60.09637227487159)","(350.78943416129187, 46.834132968632446)","(354.7077334565868, 39.185544966034925)","(377.26834710932667, 46.39849336897297)","(418.5004682002792, 39.92100529413877)","(428.0953960350725, 41.544469062816866)"
1240,"(25.674367594645492, 140.79720118552206)","(9.620479064756776, 148.26970876083195)","(84.68957716728382, 131.04758271663133)","(144.75713073183192, 84.72592113759838)","(187.58059063768783, 109.82112469762914)","(211.86225638414393, 103.40095914694228)","(227.21053709919994, 104.1354621491034)","(204.1302116057688, 60.67878074937792)","(208.44221441340036, 69.56845857693502)","(298.49403692047633, 73.9580917463263)","(349.332825748576, 74.40019528667727)","(358.0978465170848, 60.080669033315104)","(350.79094781545285, 46.82791738527977)","(354.7018693396508, 39.18547579585284)","(377.2762119926078, 46.3973259665486)","(418.46855895180784, 39.95184120446245)","(428.104969564081, 41.54934146485382)"
1241,"(25.672893073696347, 140.79906654722072)","(9.623911326093936, 148.26251837646845)","(84.6769241889811, 131.03985754805302)","(144.77552014235104, 84.79097867036286)","(187.5815314835532, 109.8227465455848)","(211.86599686251913, 103.39209607823864)","(227.22274779068815, 104.15203442347817)","(204.13040859662746, 60.76983320590713)","(208.47150173098697, 69.57266674405047)","(298.49729919363034, 73.93613746190437)","(349.3353789285865, 74.38046906422029)","(358.08273408652724, 60.0738981052378)","(350.7948019774072, 46.82505377401253)","(354.7163730795076, 39.184981822261804)","(377.27043208533297, 46.39228552834842)","(418.442593101602, 39.9244438460262)","(428.07721668493537, 41.53616887778655)"
1242,"(25.635076878062023, 140.88732788715902)","(9.584227154921722, 148.34942621450594)","(84.64256499869447, 131.13218063807156)","(144.6703847192818, 84.8831804806872)","(187.5417014097711, 109.90631431268963)","(211.82774422122523, 103.47416096133331)","(227.17381457874106, 104.20282925840894)","(204.01335448912107, 60.750442024950544)","(208.43301748035879, 69.64676613301248)","(298.4547305745529, 74.01995022926707)","(349.295298098861, 74.44194533402562)","(358.0564911610289, 60.12871875767619)","(350.74903882011097, 46.8860922691773)","(354.66859888589016, 39.22754283595169)","(377.266678838254, 46.410825050166444)","(418.50677855557916, 39.85495296448548)","(428.0615529753591, 41.5617574110353)"
1243,"(25.637202160683547, 140.9056897164178)","(9.585255769148297, 148.3666982135992)","(84.6504169214953, 131.15176585001976)","(144.70796175703927, 84.90463820732404)","(187.53387725206437, 109.92423511095997)","(211.82137339671527, 103.48753982255727)","(227.1749140478829, 104.22211323786199)","(204.05708475650877, 60.98211036634293)","(208.41912877997848, 69.6689577319422)","(298.4469408465122, 74.02098738701412)","(349.30082308326615, 74.43051888509702)","(358.06138391050314, 60.14788341053748)","(350.7447749125981, 46.89748327175641)","(354.66911045873627, 39.23153620746896)","(377.27150297558677, 46.41661762680073)","(418.37681239258893, 39.961874193004796)","(428.0461980987256, 41.59542354329717)"
1244,"(25.633741828379407, 140.89838374767277)","(9.58402480174102, 148.3588204948301)","(84.64635977849191, 131.1456128724939)","(144.68456208360223, 84.8737649491229)","(187.52738370240027, 109.90943847809761)","(211.82144402172648, 103.47486758324726)","(227.22570468993686, 104.22935536991264)","(203.9841576977152, 60.89323252886482)","(208.42846515870207, 69.66788954303851)","(298.4513640505655, 74.02147143423356)","(349.30046173713777, 74.40013959221538)","(358.05863137216573, 60.11422010178112)","(350.74747859886816, 46.894126564066156)","(354.67022964802953, 39.228510491800414)","(377.26926854830435, 46.41204177736737)","(418.3575892566672, 39.96043573694898)","(428.04331045088514, 41.56256913587155)"
